Model,FeatureSize,HiddenLayers,Size(B),Recall,Accuracy,Precision,F1-Score
model,10,4,16,6024,0.9333969950675964,0.9212942719459534,0.8768139481544495,0.9042211174964905
model,5,4,64,70152,0.924359142780304,0.917195200920105,0.8747144341468811,0.8988518118858337
model,2,6,4,776,0.8961678743362427,0.8289703130722046,0.7333452701568604,0.8066218495368958
model,2,N/A,N/A,24,0.8960678577423096,0.8289799094200134,0.7333980202674866,0.8066132664680481
